label,avg_loss,std_loss,burstiness,code
0,3.355464,1.6713741,2.0264375,"N = int(input())
for m in range(1, 10 ** 9):
	if m * (m + 1) // 2 >= N:
		break
for i in range(m, 0, -1):
	if N >= i:
		print(i)
		N -= i
	elif N == 0:
		break
"
0,2.8934,0.81480145,1.488926,"total_number = int(input())
my_list = input()
user_list = my_list.split()
(a, b, c) = (0, 0, 0)
for num in user_list:
	if int(num) == 1:
		a += 1
	elif int(num) == 2:
		b += 1
	elif int(num) == 3:
		c += 1
d = max(a, b, c)
print(total_number - d)
"
0,3.082699,1.1400453,1.8417774,"n = int(input())
l = []
for i in range(n):
	s = input()
	a = s.split()[0]
	b = s.split()[1]
	l.append(a)
	l.append(b)
nb = 0
for i in range(0, len(l) - 1, 2):
	r = int(l[i + 1]) - int(l[i])
	if r >= 2:
		nb += 1
print(nb)
"
0,3.3775866,0.78894836,1.3780541,"n = int(input())
substrs = input().split()
array = [int(x) for x in substrs]
days = 0
max_page = array[0]
i = 1
while True:
	if i == max_page:
		days += 1
		if i == len(array):
			break
		max_page = array[i]
	else:
		max_page = max(max_page, array[i])
	i += 1
print(days)
"
1,2.4698899,0.60110784,1.451823,"java
import java.io.*;
import java.util.*;

public class Main {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        int t = scanner.nextInt();

        while (t-- > 0) {
            int n = scanner.nextInt();
            int k = scanner.nextInt();
            long ans = 0;

            // If k is 1, all elements must be 0
            if (k == 1) {
                ans = 1;
            } else {
                // If k > 1, we can have k - 1 elements that are 1 and 1 element that is 0
                // The remaining elements (if any) can be 1 or 0
                // The sum of the remaining elements will be as large as possible
                // We need to choose the number of 1s in such a way that the sum is as large as possible
                // and the number of 0s is as small as possible
                long oneSum = (long)Math.pow(2, k - 1) * (n - (k - 1));
                long zeroSum = (long)Math.pow(2, k - 1) * (n - (k - 1));
                ans = (oneSum + zeroSum) % 1000000007;
            }

            System.out.println(ans);
        }
    }
}"
1,4.2381425,1.4749113,1.634095,".
### Response: from collections import Counter

def canSayHello(s):
    word = ""hello""
    word_count = Counter(word)
    s_count = Counter(s)
    
    for char in word:
        if char not in s_count or s_count[char] < word_count[char]:
            return ""NO""
    
    return ""YES""

# Read input
input_word = input().strip()

# Check if Vasya managed to say hello
result = canSayHello(input_word)

# Output result
print(result)"
0,3.7377832,0.81509006,1.4512649,"a = int(input())
b = str(input())
k = 0
l = 0
for x in b:
	if x == 'A':
		k += 1
	else:
		l += 1
if k > l:
	print('Anton')
elif k == l:
	print('Friendship')
else:
	print('Danik')
"
1,3.997959,1.5852574,2.111034,"sys.path.append(os.path.join(os.path.dirname(os.path.realpath(__file__)), "".""))

from Librarys.DecoupledSolver import DecoupledSolver

def dfs(targets):
    res = []
    while targets:
        if not targets or not targets[0][0]:
            for x in range(1, len(targets)+1):
                res.append([x, 0])
        else:
            for y in range(1, targets[-1][3]+2):
                for x in range(y, len(targets)+1):
                    targets.append([y, x, -1, y])
                    res += dfs(targets)
                    del targets[-1]
            for x in range(1, targets[0][1]+1):
                res.append([0, x])

    return res


class TestCases:
    max_size = 1
    tmp = 0
    def puts(self, i, res):
        if self.tmp != res:
            assert res == len(chao()) - 1
            self.tmp = res
            print(i,res)
    def getcases(self, target_num):
        d = DecoupledSolver()
        if target_num <=2:
            return
        n = DecoupledSolver()
        targets = []
        for x in range(1, target_num+1):
            targets.append([-1, x, 2, -1])

        p = d; b = chaolist()
        for y in range(target_num-1, 0, 2):
            r = b[y]-1
            for i in range(2):
                p.addstatedetail(p.getstate(r), ((y-1, x),))
                p.addstatedetail(p.getstate((r+1, r+x)), ((y, (x+1 if i else 0),)))
                r = (r+1) if (y+1 in b and (y+1, x) not in b) else r-1"
0,3.4828117,1.2685214,1.7316223,"class Solution {
    long mod = (long) 1e9+7;
    public int countAnagrams(String s) {
        int n = s.length();
        long[] fact = new long[n+1];
        fact[0]=1;
        for(int i=1;i<=n;i++){
            fact[i] = 1L*fact[i-1]*i%mod;
        }
        String[] str = s.split("" "");
        long ans = 1;
        for(String t:str){
            int[] ch = new int[26];
            for(char c:t.toCharArray()){
                ch[c-'a']++;
            }
            long fac = 1;
            for(int a:ch){
                fac = fac*fact[a]%mod;
            }
            long cur = fact[t.length()]*binpow(fac,mod-2)%mod;
            ans = ans*cur%mod;
        }
        return (int)ans;
    }
    long binpow(long a, long b) {
        if (b == 0)
            return 1;
        long res = binpow(a, b / 2);
        res = res*res%mod;
        if (b % 2==1)
            return res * a % mod;
        else
            return  res;
    }
}"
0,3.8242633,0.5085667,1.2108942,"input()
a = [0]
for i in input():
	a += (a[-1] + 1 - 2 * (i == 'D'),)
print(max(a))
"
